"name","value","year","lastValue","rank"
"Cardiovascular diseases",5210.275816,1990,NA,1
"Cardiovascular diseases",5164.842658,1991,5210.275816,1
"Cardiovascular diseases",5088.577137,1992,5164.842658,1
"Cardiovascular diseases",5008.956107,1993,5088.577137,1
"Cardiovascular diseases",4928.091072,1994,5008.956107,1
"Cardiovascular diseases",4856.755851,1995,4928.091072,1
"Cardiovascular diseases",4781.67172,1996,4856.755851,1
"Cardiovascular diseases",4705.187318,1997,4781.67172,1
"Cardiovascular diseases",4648.920407,1998,4705.187318,1
"Cardiovascular diseases",4619.135098,1999,4648.920407,1
"Cardiovascular diseases",4619.052351,2000,4619.135098,1
"Cardiovascular diseases",4617.092005,2001,4619.052351,1
"Cardiovascular diseases",4772.830281,2002,4617.092005,1
"Cardiovascular diseases",4861.657952,2003,4772.830281,1
"Cardiovascular diseases",4941.493429,2004,4861.657952,1
"Cardiovascular diseases",5114.810573,2005,4941.493429,1
"Cardiovascular diseases",5232.928759,2006,5114.810573,1
"Cardiovascular diseases",5300.225062,2007,5232.928759,1
"Cardiovascular diseases",5385.185984,2008,5300.225062,1
"Cardiovascular diseases",5437.682418,2009,5385.185984,1
"Cardiovascular diseases",5450.226568,2010,5437.682418,1
"Cardiovascular diseases",5387.956294,2011,5450.226568,1
"Cardiovascular diseases",5260.072998,2012,5387.956294,1
"Cardiovascular diseases",5100.008078,2013,5260.072998,1
"Cardiovascular diseases",4912.161175,2014,5100.008078,1
"Cardiovascular diseases",4739.136535,2015,4912.161175,1
"Cardiovascular diseases",4589.210175,2016,4739.136535,1
"Cardiovascular diseases",4461.298881,2017,4589.210175,1
"Chronic respiratory diseases",605.5962726,1990,NA,12
"Chronic respiratory diseases",594.5620957,1991,605.5962726,11
"Chronic respiratory diseases",578.3181646,1992,594.5620957,11
"Chronic respiratory diseases",562.4702763,1993,578.3181646,12
"Chronic respiratory diseases",546.8552915,1994,562.4702763,11
"Chronic respiratory diseases",532.7771028,1995,546.8552915,11
"Chronic respiratory diseases",520.7372082,1996,532.7771028,11
"Chronic respiratory diseases",509.817455,1997,520.7372082,11
"Chronic respiratory diseases",501.1137339,1998,509.817455,11
"Chronic respiratory diseases",494.9991403,1999,501.1137339,11
"Chronic respiratory diseases",490.7132477,2000,494.9991403,11
"Chronic respiratory diseases",475.302387,2001,490.7132477,11
"Chronic respiratory diseases",478.0769684,2002,475.302387,11
"Chronic respiratory diseases",481.805086,2003,478.0769684,11
"Chronic respiratory diseases",479.1820029,2004,481.805086,11
"Chronic respiratory diseases",483.3982391,2005,479.1820029,11
"Chronic respiratory diseases",484.2840609,2006,483.3982391,11
"Chronic respiratory diseases",488.207577,2007,484.2840609,11
"Chronic respiratory diseases",492.3636524,2008,488.207577,11
"Chronic respiratory diseases",493.4964042,2009,492.3636524,11
"Chronic respiratory diseases",491.4011556,2010,493.4964042,11
"Chronic respiratory diseases",481.7697069,2011,491.4011556,11
"Chronic respiratory diseases",466.0825209,2012,481.7697069,11
"Chronic respiratory diseases",448.7134288,2013,466.0825209,11
"Chronic respiratory diseases",431.0520178,2014,448.7134288,11
"Chronic respiratory diseases",412.8402367,2015,431.0520178,11
"Chronic respiratory diseases",398.502149,2016,412.8402367,12
"Chronic respiratory diseases",386.8341811,2017,398.502149,12
"Diabetes and kidney diseases",971.1297813,1990,NA,8
"Diabetes and kidney diseases",966.3300566,1991,971.1297813,8
"Diabetes and kidney diseases",954.6131975,1992,966.3300566,8
"Diabetes and kidney diseases",945.0604841,1993,954.6131975,8
"Diabetes and kidney diseases",941.1424258,1994,945.0604841,8
"Diabetes and kidney diseases",942.6075781,1995,941.1424258,8
"Diabetes and kidney diseases",942.2211066,1996,942.6075781,8
"Diabetes and kidney diseases",942.9294922,1997,942.2211066,8
"Diabetes and kidney diseases",944.5018483,1998,942.9294922,8
"Diabetes and kidney diseases",944.2441916,1999,944.5018483,8
"Diabetes and kidney diseases",951.5144364,2000,944.2441916,7
"Diabetes and kidney diseases",933.0368541,2001,951.5144364,7
"Diabetes and kidney diseases",954.0913833,2002,933.0368541,7
"Diabetes and kidney diseases",956.0966469,2003,954.0913833,7
"Diabetes and kidney diseases",935.5414907,2004,956.0966469,7
"Diabetes and kidney diseases",938.3892673,2005,935.5414907,7
